"train_MSE (mean)"|"train_MSE (std)"|"test_MSE (mean)"|"test_MSE (std)"|"theta1 (mean)"|"theta1 (std)"|"theta2 (mean)"|"theta2 (std)"|"theta3 (mean)"|"theta3 (std)"|"time_onecore (mean)"|"time_onecore (std)"|"total_time_onecore"|"total_time_multicore"
"Ex1_sigma0_04"|14.4049769281821|26.536561365511|14.4072228882113|26.5521877405851|420.604224932243|6.04752851987631|382.789779244445|162.098204027737|NA|NA|12079.5065|2051.08648630883|241590.13|19253.9099999999
"Ex1_sigma0_05"|4.97208931723516|7.41979268892169|4.97581458442404|7.40506020511323|420.796551896403|5.54155845631697|420.740439835306|3.28353255812141|NA|NA|14150.995|1916.98803829697|283019.9|18369.28
"Ex1_sigma0_06"|13.7517767667644|22.5969950788589|13.7541295046897|22.5786113891562|420.503139730551|8.27130613209782|419.592041615277|6.80342445456754|NA|NA|15961.8595|1768.9644476225|319237.19|19513
"Ex2_sigma0_04"|0.568252740972052|0.629866254311086|0.565301620757284|0.627017737249093|-0.047812771216643|0.227400664640263|0.00999006881075637|0.068424693473264|NA|NA|17902.368|2168.305386912|358047.36|24397.3
"Ex2_sigma0_05"|0.353961226998644|0.294751931032792|0.355329795742859|0.295491577716394|0.0175117233141915|0.0640268665354081|-0.0127131616451877|0.0466333062139413|NA|NA|16022.188|1115.74182084623|320443.76|18230.8899999999
"Ex2_sigma0_06"|0.526838251960027|0.544749466329581|0.527768287213076|0.549559759255248|-0.015427829012288|0.097269991703124|-0.0232624781686317|0.0615268127057102|NA|NA|16164.3455|2223.23269043425|323286.91|23308.1100000001
"Ex3_sigma0_04"|0.00858622684925439|0.00994759817494672|0.00856559035159513|0.00989572225533931|0.122109271769574|0.0267023465740086|0.550588634190027|0.00840492529780575|0.851615139301805|0.00726727667316412|24099.2335|1331.43654096767|481984.67|26022.6700000002
"Ex3_sigma0_05"|0.00744777066394974|0.012174625433012|0.00748192371951508|0.0122786628053908|0.108898821197594|0.0192941440463191|0.553006122797702|0.0045555876106763|0.850468819595131|0.00807868093401583|25006.4775|1447.02217365208|500129.55|28324.78
"Ex3_sigma0_06"|0.0115474834761281|0.0123091745648101|0.0115228234837824|0.0123023619047583|0.117605207512329|0.0160504275461396|0.556510626670058|0.0148868617367451|0.851245670242563|0.00647698824724138|22052.151|1020.64435506977|441043.02|24631.6100000001
