"train_MSE (mean)"|"train_MSE (std)"|"test_MSE (mean)"|"test_MSE (std)"|"theta1 (mean)"|"theta1 (std)"|"theta2 (mean)"|"theta2 (std)"|"theta3 (mean)"|"theta3 (std)"|"time_onecore (mean)"|"time_onecore (std)"|"total_time_onecore"|"total_time_multicore"
"Ex1_EX_Sliced_Calib"|4.97208931723516|7.41979268892169|4.97581458442404|7.40506020511323|420.796551896403|5.54155845631697|420.740439835306|3.28353255812141|NA|NA|14150.995|1916.98803829697|283019.9|18369.28
"Ex1_Rand_Sliced_Calib"|13.9648588629729|36.8407352426376|13.9354092569503|36.7458572687276|420.308076558181|2.75849888037376|348.472666056256|223.150606013376|NA|NA|4774.808|1046.22320605621|95496.16|7147.21999999997
"Ex1_Full-Calib"|92.8910402924723|69.8352871466077|92.8903322221295|69.7781779274046|278.483575681363|292.821716538272|311.888201942775|266.535397708913|NA|NA|31905.56|1645.41557589565|638111.2|34509.29
"Ex1_TR_Sliced_Calib"|71.9400323529751|70.3883854752169|71.9307809524401|70.3629302996557|169.50885395906|355.453908331502|337.334047262143|224.104094615448|NA|NA|27177.0235|1806.11116787095|543540.47|30580.9300000002
"Ex2_EX_Sliced_Calib"|0.353961226998644|0.294751931032792|0.355329795742859|0.295491577716394|0.0175117233141915|0.0640268665354081|-0.0127131616451877|0.0466333062139413|NA|NA|16022.188|1115.74182084623|320443.76|18230.8899999999
"Ex2_Rand_Sliced_Calib"|0.557450032335194|0.565678449987511|0.561623442470538|0.576539369435259|0.00566666691124507|0.0654070740934191|0.024352186573001|0.10102122207671|NA|NA|7193.3405|690.43232717262|143866.81|8363.08000000007
"Ex2_Full-Calib"|1.80347544887061|1.13271905718257|1.80680900677734|1.13638164874302|0.0180333990289423|0.219235246012564|0.0604659344119343|0.431240301858099|NA|NA|31818.611|1575.74757965495|636372.22|34493.01
"Ex2_TR_Sliced_Calib"|0.774560749879855|1.15547177008303|0.782601830353855|1.15273105501586|-0.0988840926182224|0.292738201806213|-0.0413984456142451|0.381027983208009|NA|NA|29605.093|1162.86606054587|592101.86|31491.3600000001
"Ex3_EX_Sliced_Calib"|0.00744777066394974|0.012174625433012|0.00748192371951508|0.0122786628053908|0.108898821197594|0.0192941440463191|0.553006122797702|0.0045555876106763|0.850468819595131|0.00807868093401583|25006.4775|1447.02217365208|500129.55|28324.78
"Ex3_Rand_Sliced_Calib"|0.00986368002803092|0.0305639401035878|0.00996308338326036|0.0309143691294631|0.115996446965574|0.0159917167232308|0.55450086136641|0.00849577255235017|0.850177928546522|0.00893506047598027|8069.9145|523.645478398415|161398.29|9079.52000000002
"Ex3_Full-Calib"|0.0718182433343461|0.0499100227762424|0.071877959504927|0.050076968790313|0.25069061625896|0.191274319195451|0.558062201890824|0.022732718091237|0.848504928931457|0.0158000596301881|30678.571|1630.35734952059|613571.42|32612.6100000001
"Ex3_TR_Sliced_Calib"|0.0279491192836014|0.0324155157141713|0.0281373637508181|0.032548401748339|0.281215104945723|0.15082994846552|0.553827335372022|0.00224165117454199|0.85279616329558|0.000824321871833366|27754.6105|1806.16914701421|555092.21|31275.26
